Time of stimulation spike application (stimulation lasts 4 ms),,,,,,,,
10Hz_LV0.00,10Hz_LV0.39,10Hz_LV1.00,10Hz_LV1.28,,20Hz_LV0.00,20Hz_LV0.38,20Hz_LV1.01,20Hz_LV1.24
19.3138,19.39352,19.2399,19.57722,,14.663800,14.43132,15.55038,14.83492
19.41378,19.47736,19.3878,19.61894,,14.713780,14.44026,15.57482,14.8671
19.51378,19.55926,19.39302,19.667,,14.763780,14.4685,15.65432,14.87894
19.61378,19.6428,19.63236,19.70188,,14.813780,14.52336,15.66002,15.02262
19.7138,19.65028,19.69006,19.72594,,14.863800,14.54078,15.6656,15.0554
19.8138,19.74716,19.79406,19.73102,,14.913800,14.578,15.6895,15.0629
19.91378,19.85576,19.97422,19.83232,,14.963780,14.7247,15.69632,15.07504
,,,,,15.013780,14.77042,15.7099,15.0822
,,,,,15.063780,14.82112,15.7154,15.1057
,,,,,15.113800,14.85222,15.73,15.17856
,,,,,15.163800,14.89096,15.7903,15.19048
,,,,,15.213780,14.91418,15.83984,15.30048
,,,,,15.263780,14.94008,15.90022,15.30714
,,,,,15.313780,14.98242,15.9213,15.41798
,,,,,15.363800,15.06074,15.92688,15.48812
,,,,,15.413800,15.11442,16.03998,15.49346
,,,,,15.463800,15.19498,16.05632,15.53088
,,,,,15.513780,15.28334,16.06146,15.53828
,,,,,15.563780,15.32252,16.06772,15.54608
,,,,,15.613800,15.37576,16.07274,15.64594
,,,,,15.663800,15.44872,16.08246,15.66398
,,,,,15.713800,15.52288,16.14162,15.67042
,,,,,15.763780,15.55718,16.1698,15.6844
,,,,,15.813780,15.61856,16.18582,15.74292
,,,,,15.863800,15.63424,16.21356,15.98582
,,,,,15.913800,15.67696,16.41104,16.02454
,,,,,15.963800,15.73174,16.4171,16.22094
,,,,,16.013780,15.77514,16.42574,16.2298
,,,,,16.063780,15.81152,16.57734,16.29722
,,,,,16.113800,15.84018,16.67946,16.42796
,,,,,16.163800,15.88934,16.68946,16.43602
,,,,,16.213800,15.94602,16.73748,16.46042
,,,,,16.263780,16.03148,16.745,16.55476
,,,,,16.313780,16.11034,16.75066,16.5634
,,,,,16.363800,16.22904,16.75688,16.57396
,,,,,16.413800,16.30244,16.76536,16.70024
,,,,,16.463800,16.37938,16.80908,16.793
,,,,,16.513780,16.48866,16.81612,16.8242
,,,,,16.563780,16.53506,16.82146,16.85878
,,,,,16.613800,16.5714,16.83932,16.89056
,,,,,16.663800,16.6308,16.89468,16.90388
,,,,,16.713800,16.69604,16.89978,16.9098
,,,,,16.763780,16.74598,16.90994,16.92086
,,,,,16.813780,16.8668,16.91774,17.03462
,,,,,16.863800,16.89738,16.92504,17.04062
,,,,,16.913800,16.94184,16.9476,17.1154
,,,,,16.963800,16.99326,16.97378,17.14918
,,,,,17.013780,17.05738,17.1936,17.15568
,,,,,17.063780,17.10792,17.38598,17.22354
,,,,,17.113800,17.1303,17.391,17.29574
,,,,,17.163800,17.1833,17.4134,17.36286
,,,,,17.213780,17.23478,17.48092,17.371
,,,,,17.263780,17.26918,17.49546,17.3809
,,,,,17.313780,17.35562,17.52332,17.57508
,,,,,17.363800,17.43672,17.5922,17.63512
,,,,,17.413800,17.48746,17.61124,17.64056
,,,,,17.463780,17.56356,17.61876,17.67628
,,,,,17.513780,17.61478,17.63086,17.72298
,,,,,17.563780,17.65962,17.6417,17.76638
,,,,,17.613800,17.69206,17.70786,17.91314
,,,,,17.663800,17.70832,17.72756,17.9572
,,,,,17.713780,17.72886,17.76648,17.98496
,,,,,17.763780,17.76592,17.7872,18.02086
,,,,,17.813780,17.77958,17.87936,18.02866
,,,,,17.863800,17.79466,17.92714,18.09544
,,,,,17.913800,17.86394,17.98648,18.15796
,,,,,17.963780,17.92166,18.0141,18.27008
,,,,,18.013780,17.93124,18.01938,18.2754
,,,,,18.063800,17.94362,18.0247,18.28188
,,,,,18.113780,18.01806,18.03178,18.30494
,,,,,18.163800,18.03388,18.08338,18.31026
,,,,,18.213800,18.08718,18.13624,18.32372
,,,,,18.263780,18.12524,18.14534,18.39234
,,,,,18.313800,18.18504,18.17322,18.48582
,,,,,18.363780,18.21824,18.34998,18.49576
,,,,,18.413800,18.24712,18.355,18.58386
,,,,,18.463800,18.31594,18.42844,18.63852
,,,,,18.513780,18.35334,18.43524,18.82966
,,,,,18.563800,18.39112,18.56298,18.83548
,,,,,18.613780,18.4376,18.57116,18.84114
,,,,,18.663800,18.51214,18.69362,18.85892
,,,,,18.713800,18.55798,18.9293,18.86568
,,,,,18.763780,18.62406,18.99354,18.8962
,,,,,18.813800,18.66166,19.01238,18.91744
,,,,,18.863780,18.68198,19.0174,18.92374
,,,,,18.913800,18.81552,19.13806,18.92952
,,,,,18.963800,18.82462,19.21816,18.93802
,,,,,19.013780,18.85532,19.33622,19.02548
,,,,,19.063800,18.91814,19.34472,19.03308
,,,,,19.113780,19.0124,19.52094,19.1284
,,,,,19.163800,19.04512,19.52808,19.13764
,,,,,19.213800,19.11576,19.6321,19.21774
,,,,,19.263780,19.22108,19.69702,19.28248
,,,,,19.313800,19.3132,19.70446,19.31426
,,,,,19.363780,19.32514,19.7272,19.4253
,,,,,19.413780,19.34484,19.73578,19.43344
,,,,,19.463800,19.37032,19.74628,19.47546
,,,,,19.513780,19.39398,19.75868,19.51176
,,,,,19.563800,19.4119,19.76462,19.5272
,,,,,19.613780,19.43846,19.78212,19.54472
,,,,,19.663780,19.47396,19.8733,19.55828
,,,,,19.713800,19.579,19.87932,19.67468
,,,,,19.763780,19.6773,19.93778,19.68292
,,,,,19.813800,19.73212,19.95134,19.72874
,,,,,19.863780,19.81278,19.9793,19.9214
,,,,,19.913780,19.89704,19.9864,19.9287
,,,,,19.963800,19.99138,19.99448,
,,,,,,,,
